ID,Year,Fall,Name,NameType,Mass,Latitude,Longitude
10075,1934-01-01T00:00:00.000,Fell,Farmville,Valid,56000,35.55,-77.53333
10078,1844-01-01T00:00:00.000,Fell,Favars,Valid,1500,44.38333,2.81667
10079,1934-01-01T00:00:00.000,Fell,Fayetteville,Valid,2360,36.05,-94.16667
10080,1875-01-01T00:00:00.000,Fell,Feid Chair,Valid,380,36.88333,8.45
10081,1900-01-01T00:00:00.000,Fell,Felix,Valid,3200,32.53333,-87.16667
10086,1924-01-01T00:00:00.000,Fell,Fenghsien-Ku,Valid,82,34.6,116.75
10088,1889-01-01T00:00:00.000,Fell,Ferguson,Valid,220,36.1,-81.41667
10091,1996-01-01T00:00:00.000,Fell,Fermo,Valid,10200,43.18111,13.75333
10107,1894-01-01T00:00:00.000,Fell,Fisher,Valid,17600,47.81667,-96.85
10111,1922-01-01T00:00:00.000,Fell,Florence,Valid,3640,30.83333,-97.76667
10119,1890-01-01T00:00:00.000,Fell,Forest City,Valid,152000,43.25,-93.66667
10120,1942-01-01T00:00:00.000,Fell,Forest Vale,Valid,26000,-33.35,146.85833
10123,1924-01-01T00:00:00.000,Fell,Forksville,Valid,6067,36.78333,-78.08333
10163,1900-01-01T00:00:00.000,Fell,Forsbach,Valid,240,50.95,7.31667
10164,1829-01-01T00:00:00.000,Fell,Forsyth,Valid,16300,33.01667,-83.96667
